,Unnamed: 0,Area,Year,category,subgroup1,subgroup2,subgroup3,item code,item,value,unit,Nitrogen Production (ktN)
417836,417836,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,44,Barley,5412790.0,t,97610.64631529072
417837,417837,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,89,Buckwheat,55660.0,t,962.918
417838,417838,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,56,Maize (corn),2480000.0,t,30791.68
417839,417839,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,79,Millet,4645.0,t,94.54897499999998
417840,417840,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,103,Mixed grain,185680.0,t,2246.728
417841,417841,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,75,Oats,2590690.0,t,55958.904
417842,417842,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,27,Rice,133690.0,t,1724.601
417843,417843,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,71,Rye,346810.0,t,7387.052999999999
417844,417844,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,83,Sorghum,18990.0,t,276.3677999367
417845,417845,France,1961,Vegetal productions,"Crops, primary","Cereals, primary",,15,Wheat,9573520.0,t,200469.5088
417846,417846,France,1961,Vegetal productions,"Crops, primary",Fibre Crops Primary,,771,"Flax, raw or retted",55520.0,t,1837.712
417847,417847,France,1961,Vegetal productions,"Crops, primary",Fibre Crops Primary,,777,"True hemp, raw or retted",2335.0,t,7.331900000000001
417848,417848,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,"Citrus Fruit, Total",497,Lemons and limes,280.0,t,0.504
417849,417849,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,"Citrus Fruit, Total",490,Oranges,1300.0,t,4.03
417850,417850,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,"Citrus Fruit, Total",495,"Tangerines, mandarins, clementines",920.0,t,1.7480000000000002
417851,417851,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,515,Apples,2142000.0,t,4641.00000714
417852,417852,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,526,Apricots,93910.0,t,350.5973330203
417853,417853,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,552,Blueberries,10000.0,t,10.6
417854,417854,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,568,Cantaloupes and other melons,163530.0,t,0.0
417855,417855,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,531,Cherries,92500.0,t,162.79999999999998
417856,417856,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,550,Currants,7350.0,t,16.464000000000002
417857,417857,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,569,Figs,3330.0,t,10.1232
417858,417858,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,560,Grapes,7491000.0,t,26967.6
417859,417859,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,541,Other stone fruits,2000.0,t,4.44
417860,417860,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,534,Peaches and nectarines,325010.0,t,715.0219999999999
417861,417861,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,521,Pears,333000.0,t,589.41
417862,417862,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,536,Plums and sloes,155950.0,t,374.28
417863,417863,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,523,Quinces,1010.0,t,0.3232
417864,417864,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,547,Raspberries,3910.0,t,5.6304
417865,417865,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,544,Strawberries,56040.0,t,307.0992
417866,417866,France,1961,Vegetal productions,"Crops, primary",Fruit Primary,,567,Watermelons,5420.0,t,9.755999999999998
417867,417867,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,336,Hempseed,900.0,t,31.68
417868,417868,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,333,Linseed,46100.0,t,1327.68
417869,417869,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,292,Mustard seed,13678.0,t,544.93152
417870,417870,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,260,Olives,2009.0,t,14.6657
417871,417871,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,339,"Other oil seeds, n.e.c.",45000.0,t,588.3428569499999
417872,417872,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,296,Poppy seed,456.0,t,13.1328
417873,417873,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,270,Rape or colza seed,106519.0,t,3340.43584
417874,417874,France,1961,Vegetal productions,"Crops, primary",Oilcrops Primary,,267,Sunflower seed,12201.0,t,287.45556
417875,417875,France,1961,Vegetal productions,"Crops, primary","Pulses, Total",,176,"Beans, dry",86770.0,t,3625.8290669559
417876,417876,France,1961,Vegetal productions,"Crops, primary","Pulses, Total",,181,"Broad beans and horse beans, dry",54780.0,t,1655.4515999999996
417877,417877,France,1961,Vegetal productions,"Crops, primary","Pulses, Total",,201,"Lentils, dry",9710.0,t,348.20059999999995
417878,417878,France,1961,Vegetal productions,"Crops, primary","Pulses, Total",,211,Other pulses n.e.c.,1250.0,t,32.5833333375
417879,417879,France,1961,Vegetal productions,"Crops, primary","Pulses, Total",,187,"Peas, dry",22610.0,t,859.18
417880,417880,France,1961,Vegetal productions,"Crops, primary","Roots and Tubers, Total",,116,Potatoes,14331130.0,t,36343.74568
417881,417881,France,1961,Vegetal productions,"Crops, primary",Sugar Crops Primary,,157,Sugar beet,13235800.0,t,27706.941289214003
